               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10624,            0.035194,                   0,             0.15299,             0.13187,            0.041871,           0.0091695,            0.089853,            0.023437,                   0,            0.070588,            0.003268,            0.003268
                   1,            0.078497,            0.034381,                   0,             0.28661,             0.27816,             0.22702,            0.077018,            0.071683,            0.026845,                   0,            0.040458,           0.0064706,           0.0064706
                   2,            0.069873,            0.031287,                   0,             0.30238,              0.1978,             0.17352,            0.060545,            0.069618,            0.021577,                   0,            0.010195,           0.0095412,           0.0095412
                   3,            0.063228,            0.029389,                   0,              0.3516,             0.50549,             0.35932,             0.16502,             0.04966,             0.02104,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.055671,            0.027004,                   0,             0.45783,             0.35264,             0.29084,             0.15874,            0.057651,            0.020658,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.052383,            0.027478,                   0,             0.57999,             0.51648,             0.50377,             0.25567,            0.048455,            0.020348,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.049089,            0.026646,                   0,              0.6058,             0.47286,             0.46194,             0.26919,             0.04204,            0.018408,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.046344,            0.025364,                   0,             0.45697,             0.54945,             0.45529,             0.24175,            0.046303,            0.020674,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.045878,            0.025616,                   0,             0.73513,             0.50549,             0.53792,             0.28767,            0.046911,            0.017969,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.043143,            0.025224,                   0,             0.62243,             0.57143,             0.58675,             0.32782,             0.03768,            0.017161,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.043601,            0.025417,                   0,             0.73295,             0.50549,              0.5485,             0.30638,            0.037284,            0.017005,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.042674,            0.024971,                   0,             0.76711,               0.543,             0.57657,             0.32117,            0.038293,              0.0169,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.039624,            0.023058,                   0,             0.72226,             0.57153,              0.6139,             0.33993,            0.036265,            0.017834,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.04044,            0.022682,                   0,             0.70431,             0.53846,             0.55523,             0.30101,            0.040631,            0.020121,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.038239,            0.022546,                   0,             0.77082,             0.52747,             0.62574,             0.38078,            0.034033,             0.01765,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.038437,            0.022563,                   0,             0.63863,             0.63736,              0.6674,              0.4113,            0.034394,            0.016109,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.036278,            0.021878,                   0,             0.75268,             0.56856,             0.65173,             0.40565,            0.033941,            0.017432,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.036165,            0.020459,                   0,             0.68925,             0.64835,              0.6273,             0.32543,            0.039029,            0.018614,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.036047,            0.021504,                   0,             0.66264,             0.64755,             0.61832,             0.38199,            0.033836,            0.017851,                   0,            0.006634,            0.006634,            0.006634
                  19,               0.036,            0.021087,                   0,             0.70021,             0.64835,             0.63892,             0.36365,            0.035523,            0.016864,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.034285,            0.020532,                   0,             0.75131,              0.5976,             0.68037,             0.41154,            0.035374,            0.016933,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.034473,            0.020535,                   0,             0.69153,              0.7033,             0.69032,             0.43155,            0.031224,            0.016988,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.034194,            0.021332,                   0,             0.76088,             0.59341,             0.66953,              0.4158,             0.03223,            0.017053,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.033109,            0.020404,                   0,             0.76911,             0.62231,              0.6779,             0.41344,            0.031819,            0.017282,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.033061,            0.019629,                   0,             0.66398,             0.67033,             0.66836,             0.41222,            0.033035,            0.016883,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.031981,            0.018864,                   0,             0.76339,             0.62637,             0.71405,             0.44245,            0.031169,            0.016558,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.032052,            0.019098,                   0,              0.5841,             0.72538,             0.69487,             0.43826,            0.032046,            0.017245,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.03081,            0.019221,                   0,             0.77227,             0.62637,             0.71537,             0.42926,            0.031772,             0.01761,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.031156,             0.01876,                   0,             0.82518,             0.62249,             0.68591,             0.43764,            0.032193,             0.01809,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.029902,            0.018418,                   0,             0.66322,             0.62637,             0.65226,             0.42076,            0.031105,            0.018153,                   0,            0.004456,            0.004456,            0.004456
                  30,             0.02975,            0.018201,                   0,             0.73923,             0.65423,             0.68774,             0.42602,            0.031292,            0.018477,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.029227,            0.017398,                   0,             0.71418,              0.6044,             0.64364,             0.39444,            0.033576,            0.018576,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.028925,            0.017578,                   0,             0.62231,             0.71429,             0.68616,             0.43152,            0.031284,            0.017374,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.028484,            0.016867,                   0,             0.77173,             0.64835,             0.72715,             0.45005,            0.029027,            0.018335,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.028558,            0.016841,                   0,             0.79453,             0.67989,             0.72999,             0.46166,            0.031391,            0.017384,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.028755,            0.017609,                   0,             0.81137,             0.68132,             0.71969,             0.45821,            0.029105,            0.017544,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.027939,             0.01727,                   0,             0.70903,             0.67033,             0.71867,             0.46664,             0.02928,            0.017545,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.028024,            0.016834,                   0,             0.78637,             0.68769,             0.76034,             0.48647,            0.029482,            0.017468,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.028453,            0.018012,                   0,              0.7507,             0.66185,             0.70014,             0.45965,            0.029292,            0.018128,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.026277,            0.016066,                   0,             0.72411,             0.72527,             0.72589,             0.47968,            0.029254,            0.017657,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.02645,            0.016867,                   0,             0.71136,             0.71429,             0.72866,             0.47054,             0.03007,            0.018158,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.025854,            0.016345,                   0,             0.84893,             0.59341,             0.73176,              0.4779,            0.029543,            0.017941,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.02565,             0.01583,                   0,             0.81238,             0.62637,             0.72285,             0.46799,            0.030128,            0.018063,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.025537,            0.015736,                   0,             0.78059,             0.63736,             0.73182,             0.45959,            0.030061,            0.019157,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.02546,            0.016396,                   0,             0.77442,             0.67909,             0.75953,             0.47575,            0.029625,             0.01822,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.024794,             0.01539,                   0,             0.84056,             0.65934,             0.76631,             0.49574,            0.029792,            0.018575,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.025127,            0.015465,                   0,             0.80621,             0.68577,             0.76487,             0.49599,            0.029845,            0.017458,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.025265,            0.015124,                   0,             0.78357,             0.67033,             0.75925,             0.50083,            0.029579,            0.017164,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.025139,            0.015268,                   0,             0.83045,             0.64591,             0.76131,              0.5054,            0.029124,            0.017068,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.024655,            0.015361,                   0,             0.82554,             0.68132,             0.76296,             0.49884,            0.029246,            0.017335,                   0,            0.000496,            0.000496,            0.000496
